2025-05-21 16:13:07 [INFO]: ::1 - - [21/May/2025:14:13:07 +0000] "POST /auth/login? HTTP/1.1" 400 63 "http://localhost:5173/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36"
2025-05-21 16:17:15 [INFO]: ::1 - - [21/May/2025:14:17:15 +0000] "POST /auth/register HTTP/1.1" 409 62 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:17:25 [INFO]: ::1 - - [21/May/2025:14:17:25 +0000] "POST /auth/register HTTP/1.1" 400 139 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:18:32 [INFO]: ::1 - - [21/May/2025:14:18:32 +0000] "POST /auth/register HTTP/1.1" 201 344 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:20:36 [INFO]: ::1 - - [21/May/2025:14:20:36 +0000] "GET /api/products?limit=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:20:49 [INFO]: ::1 - - [21/May/2025:14:20:49 +0000] "GET /api/products?limit=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:20:57 [INFO]: ::1 - - [21/May/2025:14:20:57 +0000] "GET /api/products?limit=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:21:05 [INFO]: ::1 - - [21/May/2025:14:21:05 +0000] "GET /api/products?limit=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:21:49 [INFO]: ::1 - - [21/May/2025:14:21:49 +0000] "GET /auth/me HTTP/1.1" 401 45 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:21:49 [INFO]: ::1 - - [21/May/2025:14:21:49 +0000] "GET /auth/me HTTP/1.1" 401 45 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:21:49 [INFO]: ::1 - - [21/May/2025:14:21:49 +0000] "GET /api/products?limit=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:21:49 [INFO]: ::1 - - [21/May/2025:14:21:49 +0000] "GET /api/products?limit=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
2025-05-21 16:21:49 [INFO]: ::1 - - [21/May/2025:14:21:49 +0000] "GET /api/products?limit=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
